,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
35,2.0,US,,1/26/20 16:00,,,California,
35,2.0,US,,1/27/20 23:59,,,California,
35,2.0,US,,1/28/20 23:00,,,California,
35,2.0,US,,1/29/20 19:30,,,California,
36,2.0,US,,1/30/20 16:00,,,California,
45,2.0,US,,1/31/2020 23:59,,,California,
40,144.0,US,2.0,2020-03-10T19:13:28,36.1162,-119.6816,California,2.0
39,177.0,US,3.0,2020-03-11T23:53:03,36.1162,-119.6816,California,2.0
37,221.0,US,4.0,2020-03-12T23:44:33,36.1162,-119.6816,California,6.0
175,282.0,US,4.0,2020-03-11T20:00:00,36.116203000000006,-119.681564,California,6.0
32,340.0,US,5.0,2020-03-14T22:13:32,36.1162,-119.6816,California,6.0
32,426.0,US,6.0,2020-03-15T18:33:03,36.1162,-119.6816,California,6.0
29,557.0,US,7.0,2020-03-16T23:53:03,36.1162,-119.6816,California,6.0
25,698.0,US,12.0,2020-03-17T22:53:03,36.1162,-119.6816,California,6.0
26,751.0,US,13.0,2020-03-18T19:14:34,36.1162,-119.6816,California,0.0
22,952.0,US,18.0,2020-03-19T21:13:40,36.1162,-119.6816,California,0.0
20,1177.0,US,23.0,2020-03-20T23:43:03,36.1162,-119.6816,California,0.0
17,1364.0,US,24.0,2020-03-21T22:43:04,36.1162,-119.6816,California,0.0
97,407.0,US,5.0,3/22/20 23:45,34.30828379,-118.22824109999999,California,0.0
98,263.0,US,8.0,3/22/20 23:45,37.23104908,-121.6970462,California,0.0
99,155.0,US,0.0,3/22/20 23:45,33.03484597,-116.73653259999999,California,0.0
100,117.0,US,1.0,3/22/20 23:45,37.422880799999994,-122.32755459999998,California,0.0
101,108.0,US,0.0,3/22/20 23:45,37.75215114,-122.43856720000001,California,0.0
102,95.0,US,0.0,3/22/20 23:45,33.70147516,-117.76459979999998,California,0.0
103,71.0,US,0.0,3/22/20 23:45,37.64629437,-121.8929271,California,0.0
104,61.0,US,1.0,3/22/20 23:45,37.91923498,-121.9289527,California,0.0
105,53.0,US,3.0,3/22/20 23:45,38.45106826,-121.34253740000001,California,0.0
106,38.0,US,0.0,3/22/20 23:45,38.07122463,-122.72106310000001,California,0.0
107,31.0,US,2.0,3/22/20 23:45,37.93433732,-121.2730061,California,0.0
108,29.0,US,6.0,3/22/20 23:45,33.74314981,-115.9933578,California,0.0
109,27.0,US,0.0,3/22/20 23:45,35.38822029,-120.4039028,California,0.0
110,25.0,US,0.0,3/22/20 23:45,34.44465746,-119.09106129999999,California,0.0
111,22.0,US,1.0,3/22/20 23:45,38.52746429,-122.88625060000001,California,0.0
112,17.0,US,0.0,3/22/20 23:45,34.84060306,-116.1774685,California,0.0
113,15.0,US,0.0,3/22/20 23:45,37.05580291,-122.0066524,California,0.0
114,13.0,US,0.0,3/22/20 23:45,38.26827353,-121.9357113,California,0.0
115,13.0,US,0.0,3/22/20 23:45,34.65329488,-120.0188492,California,0.0
116,12.0,US,1.0,3/22/20 23:45,39.06167234,-120.72405690000001,California,0.0
117,12.0,US,0.0,3/22/20 23:45,36.22026558,-118.8020203,California,0.0
118,11.0,US,1.0,3/22/20 23:45,36.21862405,-121.24133970000001,California,0.0
119,6.0,US,0.0,3/22/20 23:45,38.68278902,-121.90182879999999,California,0.0
120,6.0,US,0.0,3/22/20 23:45,36.75733899,-119.6466953,California,0.0
121,6.0,US,0.0,3/22/20 23:45,33.0393082,-115.36690420000001,California,0.0
122,5.0,US,1.0,3/22/20 23:45,36.60308176,-121.069975,California,0.0
123,5.0,US,0.0,3/22/20 23:45,37.55862499,-120.9970722,California,0.0
124,5.0,US,0.0,3/22/20 23:45,35.34329425,-118.72777959999999,California,0.0
125,3.0,US,0.0,3/22/20 23:45,37.21513971,-119.76655890000002,California,0.0
126,2.0,US,0.0,3/22/20 23:45,40.69923009,-123.876044,California,0.0
127,2.0,US,0.0,3/22/20 23:45,38.20537103,-120.55291299999999,California,0.0
128,2.0,US,0.0,3/22/20 23:45,41.59198861,-122.54074340000001,California,0.0
129,2.0,US,0.0,3/22/20 23:45,39.26255932,-121.35356440000001,California,0.0
130,1.0,US,0.0,3/22/20 23:45,40.76391419,-122.0396884,California,0.0
131,1.0,US,0.0,3/22/20 23:45,39.30394768,-120.76272809999999,California,0.0
132,1.0,US,0.0,3/22/20 23:45,39.4381191,-123.39113130000001,California,0.0
133,1.0,US,0.0,3/22/20 23:45,38.44583082,-120.65696000000001,California,0.0
134,1.0,US,0.0,3/22/20 23:45,37.93899289,-118.8872409,California,0.0
