,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
95,15.0,US,2.0,2020-03-10T13:13:14,27.7663,-81.6868,Florida,0.0
82,28.0,US,2.0,2020-03-11T03:33:05,27.7663,-81.6868,Florida,0.0
82,35.0,US,2.0,2020-03-12T21:39:10,27.7663,-81.6868,Florida,0.0
180,50.0,US,2.0,2020-03-11T20:00:00,27.766278999999997,-81.68678299999999,Florida,0.0
79,76.0,US,3.0,2020-03-14T18:53:03,27.7663,-81.6868,Florida,0.0
65,115.0,US,4.0,2020-03-15T18:20:19,27.7663,-81.6868,Florida,0.0
62,155.0,US,5.0,2020-03-16T22:13:21,27.7663,-81.6868,Florida,0.0
55,216.0,US,6.0,2020-03-17T23:33:02,27.7663,-81.6868,Florida,0.0
42,314.0,US,7.0,2020-03-18T19:14:34,27.7663,-81.6868,Florida,0.0
43,417.0,US,9.0,2020-03-19T23:43:04,27.7663,-81.6868,Florida,0.0
37,563.0,US,10.0,2020-03-20T23:43:03,27.7663,-81.6868,Florida,0.0
39,659.0,US,13.0,2020-03-21T23:13:18,27.7663,-81.6868,Florida,0.0
200,227.0,US,0.0,3/22/20 23:45,25.6112362,-80.55170587,Florida,0.0
201,217.0,US,3.0,3/22/20 23:45,26.15184651,-80.48725556,Florida,0.0
202,72.0,US,0.0,3/22/20 23:45,26.64676272,-80.46536002,Florida,0.0
203,58.0,US,0.0,3/22/20 23:45,27.9276559,-82.32013172,Florida,0.0
204,39.0,US,1.0,3/22/20 23:45,30.33225875,-81.66976468,Florida,0.0
205,38.0,US,0.0,3/22/20 23:45,27.93130349,-82.72239666,Florida,0.0
206,35.0,US,0.0,3/22/20 23:45,29.67866525,-82.35928158,Florida,0.0
207,33.0,US,0.0,3/22/20 23:45,26.11091986,-81.34687065,Florida,0.0
208,33.0,US,2.0,3/22/20 23:45,28.51367621,-81.31799498,Florida,0.0
209,26.0,US,2.0,3/22/20 23:45,26.58410348,-81.88399313,Florida,0.0
210,24.0,US,0.0,3/22/20 23:45,28.06312234,-81.14882926,Florida,0.0
211,19.0,US,0.0,3/22/20 23:45,28.7158582,-81.24060348,Florida,0.0
212,16.0,US,0.0,3/22/20 23:45,29.90096506,-81.43589967,Florida,0.0
213,15.0,US,0.0,3/22/20 23:45,27.18546175,-82.33174248,Florida,0.0
214,14.0,US,0.0,3/22/20 23:45,30.69143028,-86.59267105,Florida,0.0
215,14.0,US,0.0,3/22/20 23:45,29.05858895,-81.18263252,Florida,0.0
216,13.0,US,1.0,3/22/20 23:45,27.47196942,-82.31831044,Florida,0.0
217,11.0,US,1.0,3/22/20 23:45,28.30810945,-82.40227529,Florida,0.0
218,11.0,US,0.0,3/22/20 23:45,27.95027105,-81.69732947,Florida,0.0
219,8.0,US,0.0,3/22/20 23:45,28.84804315,-82.47614748,Florida,0.0
220,8.0,US,0.0,3/22/20 23:45,27.69308961,-80.60556721,Florida,0.0
221,7.0,US,1.0,3/22/20 23:45,29.98319144,-81.85609986,Florida,0.0
222,7.0,US,0.0,3/22/20 23:45,28.29409504,-80.73091022,Florida,0.0
223,6.0,US,0.0,3/22/20 23:45,28.76202069,-81.7125123,Florida,0.0
224,5.0,US,1.0,3/22/20 23:45,30.45955727,-84.27491114,Florida,0.0
225,5.0,US,0.0,3/22/20 23:45,28.70181754,-82.0794267,Florida,0.0
226,5.0,US,0.0,3/22/20 23:45,28.55364461,-82.42700204,Florida,0.0
227,4.0,US,1.0,3/22/20 23:45,30.693414500000003,-87.02458128,Florida,0.0
228,4.0,US,0.0,3/22/20 23:45,30.67652764,-87.37284571,Florida,0.0
229,4.0,US,0.0,3/22/20 23:45,30.64204028,-86.16935664,Florida,0.0
230,3.0,US,0.0,3/22/20 23:45,29.21227113,-82.05803627,Florida,0.0
231,3.0,US,0.0,3/22/20 23:45,27.37763908,-80.47106649,Florida,0.0
232,2.0,US,0.0,3/22/20 23:45,26.90131002,-81.92949121,Florida,0.0
233,2.0,US,0.0,3/22/20 23:45,27.0772071,-80.43109784,Florida,0.0
234,2.0,US,0.0,3/22/20 23:45,30.33060121,-82.28467476,Florida,0.0
235,2.0,US,0.0,3/22/20 23:45,29.60779729,-81.74230285,Florida,0.0
236,2.0,US,0.0,3/22/20 23:45,30.22509788,-82.62160164,Florida,0.0
237,1.0,US,0.0,3/22/20 23:45,30.57796289,-84.61915825,Florida,0.0
238,1.0,US,0.0,3/22/20 23:45,30.61037141,-81.80297522,Florida,0.0
239,1.0,US,0.0,3/22/20 23:45,30.795459700000002,-85.21500423,Florida,0.0
240,1.0,US,0.0,3/22/20 23:45,25.20904673,-81.07812416,Florida,0.0
241,1.0,US,0.0,3/22/20 23:45,30.26548745,-85.62122584,Florida,0.0
242,1.0,US,0.0,3/22/20 23:45,27.34254618,-81.34071957,Florida,0.0
243,1.0,US,0.0,3/22/20 23:45,0.0,0.0,Florida,0.0
244,1.0,US,0.0,3/22/20 23:45,29.95079741,-82.16611613,Florida,0.0
245,1.0,US,0.0,3/22/20 23:45,,,Florida,0.0
246,1.0,US,0.0,3/22/20 23:45,29.45933576,-81.31508595,Florida,0.0
1338,0.0,US,0.0,3/22/20 23:45,30.40666734,-85.19394153,Florida,0.0
1339,0.0,US,0.0,3/22/20 23:45,27.18677893,-81.80941373,Florida,0.0
1340,0.0,US,0.0,3/22/20 23:45,29.60631086,-83.15724673,Florida,0.0
1341,0.0,US,0.0,3/22/20 23:45,29.83791238,-84.82731662,Florida,0.0
1342,0.0,US,0.0,3/22/20 23:45,29.72856978,-82.79880657,Florida,0.0
1343,0.0,US,0.0,3/22/20 23:45,26.95635849,-81.18996211,Florida,0.0
1344,0.0,US,0.0,3/22/20 23:45,29.93543004,-85.24270990000001,Florida,0.0
1345,0.0,US,0.0,3/22/20 23:45,30.49673973,-82.94998918,Florida,0.0
1346,0.0,US,0.0,3/22/20 23:45,27.49293939,-81.80956574,Florida,0.0
1347,0.0,US,0.0,3/22/20 23:45,26.55386945,-81.16469006,Florida,0.0
1348,0.0,US,0.0,3/22/20 23:45,30.86747479,-85.81319222,Florida,0.0
1349,0.0,US,0.0,3/22/20 23:45,30.43669112,-83.89442308,Florida,0.0
1350,0.0,US,0.0,3/22/20 23:45,29.98484137,-83.18166636,Florida,0.0
1351,0.0,US,0.0,3/22/20 23:45,29.31829741,-82.74007147,Florida,0.0
1352,0.0,US,0.0,3/22/20 23:45,30.23766008,-84.8829258,Florida,0.0
1353,0.0,US,0.0,3/22/20 23:45,30.44396917,-83.47398594,Florida,0.0
1354,0.0,US,0.0,3/22/20 23:45,27.386336199999995,-80.88944347,Florida,0.0
1355,0.0,US,0.0,3/22/20 23:45,30.19746066,-82.99099670000001,Florida,0.0
1356,0.0,US,0.0,3/22/20 23:45,30.04848048,-83.60445406,Florida,0.0
1357,0.0,US,0.0,3/22/20 23:45,30.04412971,-82.37497443,Florida,0.0
1358,0.0,US,0.0,3/22/20 23:45,30.16548905,-84.39895211,Florida,0.0
1359,0.0,US,0.0,3/22/20 23:45,30.61359259,-85.66002461,Florida,0.0
23,36.0,US,0.0,2020-03-23 23:19:34,29.67866525,-82.35928158,Florida,0.0
116,3.0,US,0.0,2020-03-23 23:19:34,30.33060121,-82.28467476,Florida,0.0
150,1.0,US,0.0,2020-03-23 23:19:34,30.26548745,-85.62122584,Florida,0.0
256,1.0,US,0.0,2020-03-23 23:19:34,29.95079741,-82.16611613,Florida,0.0
268,7.0,US,0.0,2020-03-23 23:19:34,28.29409504,-80.73091022,Florida,0.0
283,263.0,US,3.0,2020-03-23 23:19:34,26.15184651,-80.48725556,Florida,0.0
349,0.0,US,0.0,2020-03-23 23:19:34,30.40666734,-85.19394153,Florida,0.0
453,3.0,US,0.0,2020-03-23 23:19:34,26.90131002,-81.92949121,Florida,0.0
511,9.0,US,0.0,2020-03-23 23:19:34,28.84804315,-82.47614748,Florida,0.0
540,8.0,US,2.0,2020-03-23 23:19:34,29.98319144,-81.85609986,Florida,0.0
599,39.0,US,0.0,2020-03-23 23:19:34,26.11091986,-81.34687065,Florida,0.0
606,2.0,US,0.0,2020-03-23 23:19:34,30.22509788,-82.62160164,Florida,0.0
744,1.0,US,0.0,2020-03-23 23:19:34,27.18677893,-81.80941373,Florida,0.0
790,0.0,US,0.0,2020-03-23 23:19:34,29.60631086,-83.15724673,Florida,0.0
833,50.0,US,1.0,2020-03-23 23:19:34,30.33225875,-81.66976468,Florida,0.0
886,9.0,US,0.0,2020-03-23 23:19:34,30.67652764,-87.37284571,Florida,0.0
932,3.0,US,0.0,2020-03-23 23:19:34,29.45933576,-81.31508595,Florida,0.0
958,0.0,US,0.0,2020-03-23 23:19:34,29.83791238,-84.82731662,Florida,0.0
1003,1.0,US,0.0,2020-03-23 23:19:34,30.57796289,-84.61915825,Florida,0.0
1039,0.0,US,0.0,2020-03-23 23:19:34,29.72856978,-82.79880657,Florida,0.0
1048,0.0,US,0.0,2020-03-23 23:19:34,26.95635849,-81.18996211,Florida,0.0
1145,0.0,US,0.0,2020-03-23 23:19:34,29.93543004,-85.24270990000002,Florida,0.0
1160,0.0,US,0.0,2020-03-23 23:19:34,30.49673973,-82.94998918,Florida,0.0
1191,0.0,US,0.0,2020-03-23 23:19:34,27.49293939,-81.80956574,Florida,0.0
1245,0.0,US,0.0,2020-03-23 23:19:34,26.55386945,-81.16469006,Florida,0.0
1259,5.0,US,0.0,2020-03-23 23:19:34,28.55364461,-82.42700204,Florida,0.0
1269,2.0,US,0.0,2020-03-23 23:19:34,27.34254618,-81.34071957,Florida,0.0
1272,75.0,US,0.0,2020-03-23 23:19:34,27.9276559,-82.32013172,Florida,0.0
1282,0.0,US,0.0,2020-03-23 23:19:34,30.86747479,-85.81319222,Florida,0.0
1339,10.0,US,0.0,2020-03-23 23:19:34,27.69308961,-80.60556721,Florida,0.0
1367,1.0,US,0.0,2020-03-23 23:19:34,30.7954597,-85.21500423,Florida,0.0
1403,0.0,US,0.0,2020-03-23 23:19:34,30.43669112,-83.89442308,Florida,0.0
1556,0.0,US,0.0,2020-03-23 23:19:34,29.98484137,-83.18166636,Florida,0.0
1564,9.0,US,0.0,2020-03-23 23:19:34,28.76202069,-81.7125123,Florida,0.0
1626,30.0,US,2.0,2020-03-23 23:19:34,26.58410348,-81.88399313,Florida,0.0
1642,6.0,US,1.0,2020-03-23 23:19:34,30.45955727,-84.27491114,Florida,0.0
1646,0.0,US,0.0,2020-03-23 23:19:34,29.31829741,-82.74007147,Florida,0.0
1657,0.0,US,0.0,2020-03-23 23:19:34,30.23766008,-84.8829258,Florida,0.0
1757,0.0,US,0.0,2020-03-23 23:19:34,30.44396917,-83.47398594,Florida,0.0
1783,15.0,US,1.0,2020-03-23 23:19:34,27.47196942,-82.31831044,Florida,0.0
1794,4.0,US,0.0,2020-03-23 23:19:34,29.21227113,-82.05803627,Florida,0.0
1825,4.0,US,0.0,2020-03-23 23:19:34,27.0772071,-80.43109784,Florida,0.0
1914,278.0,US,0.0,2020-03-23 23:19:34,25.6112362,-80.55170587,Florida,0.0
1959,2.0,US,0.0,2020-03-23 23:19:34,25.20904673,-81.07812416,Florida,0.0
2045,1.0,US,0.0,2020-03-23 23:19:34,30.61037141,-81.80297522,Florida,0.0
2125,14.0,US,0.0,2020-03-23 23:19:34,30.69143028,-86.59267105,Florida,0.0
2127,0.0,US,0.0,2020-03-23 23:19:34,27.386336199999995,-80.88944347,Florida,0.0
2144,48.0,US,2.0,2020-03-23 23:19:34,28.51367621,-81.31799498,Florida,0.0
2160,25.0,US,0.0,2020-03-23 23:19:34,28.06312234,-81.14882926,Florida,0.0
2193,89.0,US,3.0,2020-03-23 23:19:34,26.64676272,-80.46536002,Florida,0.0
2205,14.0,US,1.0,2020-03-23 23:19:34,28.30810945,-82.40227529,Florida,0.0
2280,41.0,US,0.0,2020-03-23 23:19:34,27.93130349,-82.72239666,Florida,0.0
2302,13.0,US,0.0,2020-03-23 23:19:34,27.95027105,-81.69732947,Florida,0.0
2362,2.0,US,0.0,2020-03-23 23:19:34,29.60779729,-81.74230285,Florida,0.0
2534,4.0,US,1.0,2020-03-23 23:19:34,30.69341450000001,-87.02458128,Florida,0.0
2535,21.0,US,0.0,2020-03-23 23:19:34,27.18546175,-82.33174248,Florida,0.0
2572,22.0,US,0.0,2020-03-23 23:19:34,28.7158582,-81.24060348,Florida,0.0
2666,18.0,US,0.0,2020-03-23 23:19:34,29.90096506,-81.43589967,Florida,0.0
2674,5.0,US,0.0,2020-03-23 23:19:34,27.37763908,-80.47106649,Florida,0.0
2737,8.0,US,0.0,2020-03-23 23:19:34,28.70181754,-82.0794267,Florida,0.0
2749,0.0,US,0.0,2020-03-23 23:19:34,30.19746066,-82.99099670000003,Florida,0.0
2769,0.0,US,0.0,2020-03-23 23:19:34,30.04848048,-83.60445406,Florida,0.0
2858,0.0,US,1.0,2020-03-23 23:19:34,0.0,0.0,Florida,0.0
2880,0.0,US,0.0,2020-03-23 23:19:34,30.04412971,-82.37497443,Florida,0.0
2930,16.0,US,0.0,2020-03-23 23:19:34,29.05858895,-81.18263252,Florida,0.0
2939,0.0,US,0.0,2020-03-23 23:19:34,30.16548905,-84.39895211,Florida,0.0
2951,9.0,US,0.0,2020-03-23 23:19:34,30.64204028,-86.16935664,Florida,0.0
2982,0.0,US,0.0,2020-03-23 23:19:34,30.61359259,-85.66002461,Florida,0.0
23,37.0,US,0.0,2020-03-24 23:37:31,29.67866525,-82.35928158,Florida,0.0
116,4.0,US,0.0,2020-03-24 23:37:31,30.33060121,-82.28467476,Florida,0.0
150,1.0,US,0.0,2020-03-24 23:37:31,30.26548745,-85.62122584,Florida,0.0
256,1.0,US,0.0,2020-03-24 23:37:31,29.95079741,-82.16611613,Florida,0.0
268,9.0,US,0.0,2020-03-24 23:37:31,28.29409504,-80.73091022,Florida,0.0
283,311.0,US,3.0,2020-03-24 23:37:31,26.15184651,-80.48725556,Florida,0.0
349,0.0,US,0.0,2020-03-24 23:37:31,30.40666734,-85.19394153,Florida,0.0
453,3.0,US,0.0,2020-03-24 23:37:31,26.90131002,-81.92949121,Florida,0.0
511,9.0,US,0.0,2020-03-24 23:37:31,28.84804315,-82.47614748,Florida,0.0
540,10.0,US,2.0,2020-03-24 23:37:31,29.98319144,-81.85609986,Florida,0.0
599,41.0,US,0.0,2020-03-24 23:37:31,26.11091986,-81.34687065,Florida,0.0
606,3.0,US,0.0,2020-03-24 23:37:31,30.22509788,-82.62160164,Florida,0.0
744,1.0,US,0.0,2020-03-24 23:37:31,27.18677893,-81.80941373,Florida,0.0
790,0.0,US,0.0,2020-03-24 23:37:31,29.60631086,-83.15724673,Florida,0.0
833,50.0,US,1.0,2020-03-24 23:37:31,30.33225875,-81.66976468,Florida,0.0
886,10.0,US,0.0,2020-03-24 23:37:31,30.67652764,-87.37284571,Florida,0.0
932,4.0,US,0.0,2020-03-24 23:37:31,29.45933576,-81.31508595,Florida,0.0
958,0.0,US,0.0,2020-03-24 23:37:31,29.83791238,-84.82731662,Florida,0.0
1003,1.0,US,0.0,2020-03-24 23:37:31,30.57796289,-84.61915825,Florida,0.0
1039,0.0,US,0.0,2020-03-24 23:37:31,29.72856978,-82.79880657,Florida,0.0
1048,0.0,US,0.0,2020-03-24 23:37:31,26.95635849,-81.18996211,Florida,0.0
1145,0.0,US,0.0,2020-03-24 23:37:31,29.93543004,-85.24270990000002,Florida,0.0
1160,0.0,US,0.0,2020-03-24 23:37:31,30.49673973,-82.94998918,Florida,0.0
1191,0.0,US,0.0,2020-03-24 23:37:31,27.49293939,-81.80956574,Florida,0.0
1245,0.0,US,0.0,2020-03-24 23:37:31,26.55386945,-81.16469006,Florida,0.0
1259,5.0,US,0.0,2020-03-24 23:37:31,28.55364461,-82.42700204,Florida,0.0
1269,4.0,US,0.0,2020-03-24 23:37:31,27.34254618,-81.34071957,Florida,0.0
1272,91.0,US,0.0,2020-03-24 23:37:31,27.9276559,-82.32013172,Florida,0.0
1282,0.0,US,0.0,2020-03-24 23:37:31,30.86747479,-85.81319222,Florida,0.0
1339,11.0,US,0.0,2020-03-24 23:37:31,27.69308961,-80.60556721,Florida,0.0
1367,1.0,US,0.0,2020-03-24 23:37:31,30.7954597,-85.21500423,Florida,0.0
1403,0.0,US,0.0,2020-03-24 23:37:31,30.43669112,-83.89442308,Florida,0.0
1556,0.0,US,0.0,2020-03-24 23:37:31,29.98484137,-83.18166636,Florida,0.0
1564,14.0,US,0.0,2020-03-24 23:37:31,28.76202069,-81.7125123,Florida,0.0
1626,32.0,US,2.0,2020-03-24 23:37:31,26.58410348,-81.88399313,Florida,0.0
1642,8.0,US,1.0,2020-03-24 23:37:31,30.45955727,-84.27491114,Florida,0.0
