,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
96,15.0,US,1.0,2020-03-10T18:13:16,40.2989,-74.521,New Jersey,0.0
87,23.0,US,1.0,2020-03-11T18:52:04,40.2989,-74.521,New Jersey,0.0
86,29.0,US,1.0,2020-03-12T21:39:10,40.2989,-74.521,New Jersey,0.0
201,29.0,US,1.0,2020-03-11T20:00:00,40.298904,-74.521011,New Jersey,0.0
82,69.0,US,1.0,2020-03-14T22:13:32,40.2989,-74.521,New Jersey,0.0
83,98.0,US,2.0,2020-03-15T18:20:19,40.2989,-74.521,New Jersey,0.0
51,178.0,US,2.0,2020-03-16T22:13:21,40.2989,-74.521,New Jersey,1.0
44,267.0,US,3.0,2020-03-17T20:13:22,40.2989,-74.521,New Jersey,1.0
49,267.0,US,3.0,2020-03-18T14:13:56,40.2989,-74.521,New Jersey,0.0
28,742.0,US,9.0,2020-03-19T23:43:04,40.2989,-74.521,New Jersey,0.0
27,890.0,US,11.0,2020-03-20T21:13:32,40.2989,-74.521,New Jersey,0.0
18,1327.0,US,16.0,2020-03-21T19:43:03,40.2989,-74.521,New Jersey,0.0
75,457.0,US,6.0,3/22/20 23:45,40.96010917,-74.07164325,New Jersey,0.0
76,221.0,US,4.0,3/22/20 23:45,0.0,0.0,New Jersey,0.0
77,172.0,US,4.0,3/22/20 23:45,40.78681335,-74.24657979,New Jersey,0.0
78,158.0,US,3.0,3/22/20 23:45,40.26549699,-74.22240686,New Jersey,0.0
79,147.0,US,0.0,3/22/20 23:45,40.43629879,-74.41426991,New Jersey,0.0
80,126.0,US,1.0,3/22/20 23:45,40.73766234,-74.07515667,New Jersey,0.0
81,124.0,US,0.0,3/22/20 23:45,40.65835409,-74.30680092,New Jersey,0.0
82,119.0,US,1.0,3/22/20 23:45,40.86095313,-74.54553709999999,New Jersey,0.0
83,102.0,US,1.0,3/22/20 23:45,39.8895449,-74.28089251,New Jersey,0.0
84,95.0,US,0.0,3/22/20 23:45,41.03238628,-74.29954144,New Jersey,0.0
85,51.0,US,0.0,3/22/20 23:45,40.56465737,-74.61683016,New Jersey,0.0
86,40.0,US,0.0,3/22/20 23:45,40.28047017,-74.70479631,New Jersey,0.0
87,26.0,US,0.0,3/22/20 23:45,39.87681124,-74.66927768,New Jersey,0.0
88,22.0,US,0.0,3/22/20 23:45,39.80343818,-74.96388753,New Jersey,0.0
89,16.0,US,0.0,3/22/20 23:45,40.56335249,-74.91284156,New Jersey,0.0
90,12.0,US,0.0,3/22/20 23:45,41.13891592,-74.69118243,New Jersey,0.0
91,9.0,US,0.0,3/22/20 23:45,40.85951833,-74.99556527,New Jersey,0.0
92,8.0,US,0.0,3/22/20 23:45,39.71581067,-75.13995546,New Jersey,0.0
93,5.0,US,0.0,3/22/20 23:45,39.47538693,-74.65848483,New Jersey,0.0
94,2.0,US,0.0,3/22/20 23:45,39.15008829,-74.80170244,New Jersey,0.0
95,1.0,US,0.0,3/22/20 23:45,39.37199394,-75.10712559,New Jersey,0.0
96,1.0,US,0.0,3/22/20 23:45,39.58719656,-75.34696629999999,New Jersey,0.0
101,6.0,US,0.0,2020-03-23 23:19:34,39.47538693,-74.65848483,New Jersey,0.0
190,609.0,US,6.0,2020-03-23 23:19:34,40.96010917,-74.07164325,New Jersey,0.0
318,36.0,US,0.0,2020-03-23 23:19:34,39.87681124,-74.66927768,New Jersey,0.0
367,33.0,US,1.0,2020-03-23 23:19:34,39.80343818,-74.96388753,New Jersey,0.0
383,2.0,US,0.0,2020-03-23 23:19:34,39.15008829,-74.80170244,New Jersey,0.0
685,1.0,US,0.0,2020-03-23 23:19:34,39.37199394,-75.10712559,New Jersey,0.0
889,273.0,US,4.0,2020-03-23 23:19:34,40.78681335,-74.24657979,New Jersey,0.0
1053,13.0,US,0.0,2020-03-23 23:19:34,39.71581067,-75.13995546,New Jersey,0.0
1313,190.0,US,1.0,2020-03-23 23:19:34,40.73766234,-74.07515667,New Jersey,0.0
1324,18.0,US,0.0,2020-03-23 23:19:34,40.56335249,-74.91284156,New Jersey,0.0
1901,50.0,US,0.0,2020-03-23 23:19:34,40.28047017,-74.70479631,New Jersey,0.0
1917,210.0,US,0.0,2020-03-23 23:19:34,40.43629879,-74.41426991,New Jersey,0.0
1953,238.0,US,3.0,2020-03-23 23:19:34,40.26549699,-74.22240686,New Jersey,0.0
2018,177.0,US,1.0,2020-03-23 23:19:34,40.86095313,-74.54553709999998,New Jersey,0.0
2112,144.0,US,1.0,2020-03-23 23:19:34,39.8895449,-74.28089251,New Jersey,0.0
2207,141.0,US,0.0,2020-03-23 23:19:34,41.03238628,-74.29954144,New Jersey,0.0
2495,1.0,US,0.0,2020-03-23 23:19:34,39.58719656,-75.34696629999998,New Jersey,0.0
2640,67.0,US,1.0,2020-03-23 23:19:34,40.56465737,-74.61683016,New Jersey,0.0
2745,15.0,US,0.0,2020-03-23 23:19:34,41.13891592,-74.69118243,New Jersey,0.0
2871,419.0,US,9.0,2020-03-23 23:19:34,0.0,0.0,New Jersey,0.0
2888,189.0,US,0.0,2020-03-23 23:19:34,40.65835409,-74.30680092,New Jersey,0.0
2966,12.0,US,0.0,2020-03-23 23:19:34,40.85951833,-74.99556527,New Jersey,0.0
101,6.0,US,0.0,2020-03-24 23:37:31,39.47538693,-74.65848483,New Jersey,0.0
190,701.0,US,6.0,2020-03-24 23:37:31,40.96010917,-74.07164325,New Jersey,0.0
318,42.0,US,0.0,2020-03-24 23:37:31,39.87681124,-74.66927768,New Jersey,0.0
367,51.0,US,1.0,2020-03-24 23:37:31,39.80343818,-74.96388753,New Jersey,0.0
383,3.0,US,0.0,2020-03-24 23:37:31,39.15008829,-74.80170244,New Jersey,0.0
