,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
36,173.0,US,0.0,2020-03-10T17:13:27,42.1657,-74.9481,New York,0.0
36,220.0,US,0.0,2020-03-11T22:53:03,42.1657,-74.9481,New York,0.0
29,328.0,US,0.0,2020-03-12T21:39:10,42.1657,-74.9481,New York,0.0
203,421.0,US,0.0,2020-03-11T20:00:00,42.165726,-74.948051,New York,0.0
28,525.0,US,2.0,2020-03-14T22:13:32,42.1657,-74.9481,New York,0.0
23,732.0,US,3.0,2020-03-15T18:20:19,42.1657,-74.9481,New York,0.0
19,967.0,US,10.0,2020-03-16T21:53:03,42.1657,-74.9481,New York,0.0
9,1706.0,US,13.0,2020-03-17T22:53:03,42.1657,-74.9481,New York,0.0
9,2495.0,US,16.0,2020-03-18T19:33:03,42.1657,-74.9481,New York,0.0
7,5365.0,US,34.0,2020-03-19T23:43:04,42.1657,-74.9481,New York,0.0
7,8310.0,US,42.0,2020-03-20T22:14:43,42.1657,-74.9481,New York,0.0
6,11710.0,US,60.0,2020-03-21T22:43:04,42.1657,-74.9481,New York,0.0
0,9654.0,US,63.0,3/22/20 23:45,40.767272600000005,-73.97152637,New York,0.0
1,1900.0,US,4.0,3/22/20 23:45,40.74066522,-73.58941873,New York,0.0
2,1873.0,US,0.0,3/22/20 23:45,41.16278376,-73.75741653,New York,0.0
3,1034.0,US,9.0,3/22/20 23:45,40.88320119,-72.8012172,New York,0.0
4,455.0,US,1.0,3/22/20 23:45,41.15027894,-74.02560498,New York,0.0
5,247.0,US,0.0,3/22/20 23:45,41.40337468,-74.30240757,New York,0.0
6,123.0,US,0.0,3/22/20 23:45,42.60060306,-73.97723916,New York,0.0
7,82.0,US,0.0,3/22/20 23:45,41.764860600000006,-73.74356679,New York,0.0
8,68.0,US,1.0,3/22/20 23:45,43.14638895,-77.69322942,New York,0.0
9,56.0,US,0.0,3/22/20 23:45,42.76249024,-78.73063652,New York,0.0
10,45.0,US,0.0,3/22/20 23:45,43.00491923,-76.19971155,New York,0.0
11,35.0,US,0.0,3/22/20 23:45,43.10904162,-73.86653895,New York,0.0
12,32.0,US,0.0,3/22/20 23:45,42.81668777,-74.05278291,New York,0.0
13,31.0,US,0.0,3/22/20 23:45,41.42630093,-73.74965532,New York,0.0
14,23.0,US,38.0,3/22/20 23:45,0.0,0.0,New York,0.0
15,20.0,US,0.0,3/22/20 23:45,42.71348136,-73.51089874,New York,0.0
16,18.0,US,0.0,3/22/20 23:45,41.89027881,-74.26252104,New York,0.0
17,17.0,US,0.0,3/22/20 23:45,42.24819348,-73.63089095,New York,0.0
