,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
31,1.0,US,,1/22/2020 17:00,,,Washington,
31,1.0,US,,1/23/20 17:00,,,Washington,
33,1.0,US,,1/24/20 17:00,,,Washington,
33,1.0,US,,1/25/20 17:00,,,Washington,
33,1.0,US,,1/26/20 16:00,,,Washington,
33,1.0,US,,1/27/20 23:59,,,Washington,
33,1.0,US,,1/28/20 23:00,,,Washington,
33,1.0,US,,1/29/20 19:30,,,Washington,
34,1.0,US,,1/30/20 16:00,,,Washington,
52,1.0,US,,1/31/2020 23:59,,,Washington,
30,267.0,US,23.0,2020-03-10T22:13:11,47.4009,-121.4905,Washington,1.0
27,366.0,US,29.0,2020-03-11T22:33:03,47.4009,-121.4905,Washington,1.0
26,442.0,US,31.0,2020-03-12T23:44:33,47.4009,-121.4905,Washington,1.0
218,568.0,US,37.0,2020-03-11T20:00:00,47.400902,-121.490494,Washington,1.0
26,572.0,US,37.0,2020-03-14T22:13:19,47.4009,-121.4905,Washington,1.0
25,643.0,US,40.0,2020-03-15T02:13:21,47.4009,-121.4905,Washington,1.0
22,904.0,US,48.0,2020-03-16T23:53:03,47.4009,-121.4905,Washington,1.0
18,1076.0,US,55.0,2020-03-17T23:33:03,47.4009,-121.4905,Washington,1.0
20,1014.0,US,55.0,2020-03-18T14:13:56,47.4009,-121.4905,Washington,0.0
16,1376.0,US,74.0,2020-03-19T23:43:04,47.4009,-121.4905,Washington,0.0
15,1524.0,US,83.0,2020-03-20T23:43:03,47.4009,-121.4905,Washington,0.0
14,1793.0,US,94.0,2020-03-21T22:43:04,47.4009,-121.4905,Washington,0.0
45,1040.0,US,75.0,3/22/20 23:45,47.49137892,-121.8346131,Washington,0.0
46,480.0,US,10.0,3/22/20 23:45,48.04615983,-121.7170703,Washington,0.0
47,164.0,US,0.0,3/22/20 23:45,0.0,0.0,Washington,0.0
48,107.0,US,1.0,3/22/20 23:45,47.03892768,-122.14059579999999,Washington,0.0
49,33.0,US,0.0,3/22/20 23:45,48.48171488,-121.766131,Washington,0.0
50,21.0,US,1.0,3/22/20 23:45,48.14713305,-122.5216407,Washington,0.0
51,20.0,US,0.0,3/22/20 23:45,47.62113146,-117.4046494,Washington,0.0
52,18.0,US,1.0,3/22/20 23:45,47.20753737,-119.4500749,Washington,0.0
53,18.0,US,0.0,3/22/20 23:45,47.63479026,-122.6436061,Washington,0.0
54,16.0,US,0.0,3/22/20 23:45,46.45738486,-120.73801259999999,Washington,0.0
55,14.0,US,2.0,3/22/20 23:45,48.82227976,-121.74900179999999,Washington,0.0
56,11.0,US,0.0,3/22/20 23:45,46.9291895,-122.82906559999999,Washington,0.0
57,10.0,US,3.0,3/22/20 23:45,45.77568046,-122.48292040000001,Washington,0.0
58,7.0,US,2.0,3/22/20 23:45,46.23946995,-119.51208340000001,Washington,0.0
59,6.0,US,0.0,3/22/20 23:45,47.75003077,-123.56097040000002,Washington,0.0
60,4.0,US,0.0,3/22/20 23:45,47.12521214,-120.67943899999999,Washington,0.0
61,4.0,US,0.0,3/22/20 23:45,45.87325839,-120.7913598,Washington,0.0
62,4.0,US,0.0,3/22/20 23:45,48.04754642,-123.92263190000001,Washington,0.0
63,3.0,US,0.0,3/22/20 23:45,46.19074721,-122.6782231,Washington,0.0
64,3.0,US,0.0,3/22/20 23:45,47.87046092,-120.6173956,Washington,0.0
65,3.0,US,0.0,3/22/20 23:45,46.53351425,-118.9018212,Washington,0.0
66,2.0,US,0.0,3/22/20 23:45,46.57756476,-122.39257690000001,Washington,0.0
67,1.0,US,0.0,3/22/20 23:45,47.14003705,-123.7820567,Washington,0.0
68,1.0,US,0.0,3/22/20 23:45,46.29442881,-117.9051983,Washington,0.0
69,1.0,US,0.0,3/22/20 23:45,47.57705241,-118.41943880000001,Washington,0.0
70,1.0,US,0.0,3/22/20 23:45,47.35007586,-123.1863685,Washington,0.0
71,1.0,US,0.0,3/22/20 23:45,46.23040051,-118.4775539,Washington,0.0
72,1.0,US,0.0,3/22/20 23:45,48.40035475,-117.8542701,Washington,0.0
73,1.0,US,0.0,3/22/20 23:45,48.60182783,-122.96745,Washington,0.0
74,1.0,US,0.0,3/22/20 23:45,46.90022523,-117.52417630000001,Washington,0.0
3059,0.0,US,0.0,3/22/20 23:45,46.98299757,-118.56017340000001,Washington,0.0
3060,0.0,US,0.0,3/22/20 23:45,46.18894415,-117.2022851,Washington,0.0
3061,0.0,US,0.0,3/22/20 23:45,47.7361335,-119.69293700000001,Washington,0.0
3062,0.0,US,0.0,3/22/20 23:45,48.471143100000006,-118.5154041,Washington,0.0
3063,0.0,US,0.0,3/22/20 23:45,48.54855019,-119.73872240000001,Washington,0.0
3064,0.0,US,0.0,3/22/20 23:45,46.55418369,-123.7285716,Washington,0.0
3065,0.0,US,0.0,3/22/20 23:45,48.53234021,-117.2741804,Washington,0.0
3066,0.0,US,0.0,3/22/20 23:45,46.02408726,-121.91644029999999,Washington,0.0
3067,0.0,US,0.0,3/22/20 23:45,46.29180039999999,-123.4250831,Washington,0.0
3068,0.0,US,0.0,3/22/20 23:45,46.23040051,-118.4775539,Washington,0.0
3416,1.0,US,2.0,3/22/20 23:45,46.45197502,-117.54540320000001,Washington,0.0
18,1.0,US,0.0,2020-03-23 23:19:34,46.98299757,-118.5601734,Washington,0.0
94,0.0,US,0.0,2020-03-23 23:19:34,46.18894415,-117.2022851,Washington,0.0
188,9.0,US,3.0,2020-03-23 23:19:34,46.23946995,-119.5120834,Washington,0.0
468,6.0,US,0.0,2020-03-23 23:19:34,47.87046092,-120.6173956,Washington,0.0
516,4.0,US,0.0,2020-03-23 23:19:34,48.04754642,-123.9226319,Washington,0.0
530,13.0,US,3.0,2020-03-23 23:19:34,45.77568046,-122.4829204,Washington,0.0
611,1.0,US,0.0,2020-03-23 23:19:34,46.29442881,-117.9051983,Washington,0.0
649,3.0,US,0.0,2020-03-23 23:19:34,46.19074721,-122.6782231,Washington,0.0
816,1.0,US,0.0,2020-03-23 23:19:34,47.7361335,-119.692937,Washington,0.0
927,0.0,US,0.0,2020-03-23 23:19:34,48.471143100000006,-118.5154041,Washington,0.0
980,5.0,US,0.0,2020-03-23 23:19:34,46.53351425,-118.9018212,Washington,0.0
1018,0.0,US,0.0,2020-03-23 23:19:34,46.43197502,-117.5454032,Washington,0.0
1093,23.0,US,1.0,2020-03-23 23:19:34,47.20753737,-119.4500749,Washington,0.0
1101,1.0,US,0.0,2020-03-23 23:19:34,47.14003705,-123.7820567,Washington,0.0
1357,25.0,US,1.0,2020-03-23 23:19:34,48.14713305,-122.5216407,Washington,0.0
1423,6.0,US,0.0,2020-03-23 23:19:34,47.75003077,-123.56097040000002,Washington,0.0
1506,1170.0,US,87.0,2020-03-23 23:19:34,47.49137892,-121.8346131,Washington,0.0
1520,18.0,US,0.0,2020-03-23 23:19:34,47.63479026,-122.6436061,Washington,0.0
1521,4.0,US,0.0,2020-03-23 23:19:34,47.12521214,-120.679439,Washington,0.0
1525,4.0,US,0.0,2020-03-23 23:19:34,45.87325839,-120.7913598,Washington,0.0
1652,2.0,US,0.0,2020-03-23 23:19:34,46.57756476,-122.3925769,Washington,0.0
1684,1.0,US,0.0,2020-03-23 23:19:34,47.57705241,-118.4194388,Washington,0.0
1836,1.0,US,0.0,2020-03-23 23:19:34,47.35007586,-123.1863685,Washington,0.0
2126,0.0,US,0.0,2020-03-23 23:19:34,48.54855019,-119.7387224,Washington,0.0
2190,0.0,US,0.0,2020-03-23 23:19:34,46.55418369,-123.7285716,Washington,0.0
2221,0.0,US,0.0,2020-03-23 23:19:34,48.53234021,-117.2741804,Washington,0.0
2265,126.0,US,1.0,2020-03-23 23:19:34,47.03892768,-122.1405958,Washington,0.0
2515,1.0,US,0.0,2020-03-23 23:19:34,48.60182783,-122.96745,Washington,0.0
2625,33.0,US,0.0,2020-03-23 23:19:34,48.48171488,-121.766131,Washington,0.0
2627,0.0,US,0.0,2020-03-23 23:19:34,46.02408726,-121.9164403,Washington,0.0
2634,519.0,US,11.0,2020-03-23 23:19:34,48.04615983,-121.7170703,Washington,0.0
2651,20.0,US,0.0,2020-03-23 23:19:34,47.62113146,-117.4046494,Washington,0.0
2705,1.0,US,0.0,2020-03-23 23:19:34,48.40035475,-117.8542701,Washington,0.0
2797,11.0,US,0.0,2020-03-23 23:19:34,46.9291895,-122.8290656,Washington,0.0
2876,145.0,US,0.0,2020-03-23 23:19:34,0.0,0.0,Washington,0.0
2937,0.0,US,0.0,2020-03-23 23:19:34,46.29180039999999,-123.4250831,Washington,0.0
2944,0.0,US,0.0,2020-03-23 23:19:34,46.23040051,-118.4775539,Washington,0.0
2945,1.0,US,0.0,2020-03-23 23:19:34,46.23040051,-118.4775539,Washington,0.0
3059,48.0,US,2.0,2020-03-23 23:19:34,48.82227976,-121.7490018,Washington,0.0
3075,2.0,US,0.0,2020-03-23 23:19:34,46.90022523,-117.5241763,Washington,0.0
3145,16.0,US,0.0,2020-03-23 23:19:34,46.45738486,-120.7380126,Washington,0.0
18,1.0,US,0.0,2020-03-24 23:37:31,46.98299757,-118.5601734,Washington,0.0
94,0.0,US,0.0,2020-03-24 23:37:31,46.18894415,-117.2022851,Washington,0.0
188,9.0,US,3.0,2020-03-24 23:37:31,46.23946995,-119.5120834,Washington,0.0
468,6.0,US,0.0,2020-03-24 23:37:31,47.87046092,-120.6173956,Washington,0.0
516,4.0,US,0.0,2020-03-24 23:37:31,48.04754642,-123.9226319,Washington,0.0
530,13.0,US,4.0,2020-03-24 23:37:31,45.77568046,-122.4829204,Washington,0.0
611,1.0,US,0.0,2020-03-24 23:37:31,46.29442881,-117.9051983,Washington,0.0
649,3.0,US,0.0,2020-03-24 23:37:31,46.19074721,-122.6782231,Washington,0.0
816,1.0,US,0.0,2020-03-24 23:37:31,47.7361335,-119.692937,Washington,0.0
927,0.0,US,0.0,2020-03-24 23:37:31,48.471143100000006,-118.5154041,Washington,0.0
980,5.0,US,0.0,2020-03-24 23:37:31,46.53351425,-118.9018212,Washington,0.0
1018,0.0,US,0.0,2020-03-24 23:37:31,46.43197502,-117.5454032,Washington,0.0
1093,23.0,US,1.0,2020-03-24 23:37:31,47.20753737,-119.4500749,Washington,0.0
1101,1.0,US,0.0,2020-03-24 23:37:31,47.14003705,-123.7820567,Washington,0.0
1357,25.0,US,1.0,2020-03-24 23:37:31,48.14713305,-122.5216407,Washington,0.0
1423,8.0,US,0.0,2020-03-24 23:37:31,47.75003077,-123.56097040000002,Washington,0.0
1506,1170.0,US,87.0,2020-03-24 23:37:31,47.49137892,-121.8346131,Washington,0.0
1520,18.0,US,0.0,2020-03-24 23:37:31,47.63479026,-122.6436061,Washington,0.0
1521,5.0,US,0.0,2020-03-24 23:37:31,47.12521214,-120.679439,Washington,0.0
1525,4.0,US,0.0,2020-03-24 23:37:31,45.87325839,-120.7913598,Washington,0.0
1652,2.0,US,0.0,2020-03-24 23:37:31,46.57756476,-122.3925769,Washington,0.0
1684,1.0,US,0.0,2020-03-24 23:37:31,47.57705241,-118.4194388,Washington,0.0
1836,1.0,US,0.0,2020-03-24 23:37:31,47.35007586,-123.1863685,Washington,0.0
2126,0.0,US,0.0,2020-03-24 23:37:31,48.54855019,-119.7387224,Washington,0.0
2190,0.0,US,0.0,2020-03-24 23:37:31,46.55418369,-123.7285716,Washington,0.0
2221,0.0,US,0.0,2020-03-24 23:37:31,48.53234021,-117.2741804,Washington,0.0
2265,138.0,US,1.0,2020-03-24 23:37:31,47.03892768,-122.1405958,Washington,0.0
2515,1.0,US,0.0,2020-03-24 23:37:31,48.60182783,-122.96745,Washington,0.0
2625,45.0,US,1.0,2020-03-24 23:37:31,48.48171488,-121.766131,Washington,0.0
2627,0.0,US,0.0,2020-03-24 23:37:31,46.02408726,-121.9164403,Washington,0.0
2634,614.0,US,16.0,2020-03-24 23:37:31,48.04615983,-121.7170703,Washington,0.0
2651,29.0,US,0.0,2020-03-24 23:37:31,47.62113146,-117.4046494,Washington,0.0
2705,1.0,US,0.0,2020-03-24 23:37:31,48.40035475,-117.8542701,Washington,0.0
2797,11.0,US,0.0,2020-03-24 23:37:31,46.9291895,-122.8290656,Washington,0.0
2875,112.0,US,0.0,2020-03-24 23:37:31,0.0,0.0,Washington,0.0
2936,0.0,US,0.0,2020-03-24 23:37:31,46.29180039999999,-123.4250831,Washington,0.0
2943,1.0,US,0.0,2020-03-24 23:37:31,46.23040051,-118.4775539,Washington,0.0
3057,48.0,US,2.0,2020-03-24 23:37:31,48.82227976,-121.7490018,Washington,0.0
3073,2.0,US,0.0,2020-03-24 23:37:31,46.90022523,-117.5241763,Washington,0.0
3143,25.0,US,0.0,2020-03-24 23:37:31,46.45738486,-120.7380126,Washington,0.0
18,1.0,US,0.0,2020-03-25 23:33:19,46.98299757,-118.5601734,Washington,0.0
94,0.0,US,0.0,2020-03-25 23:33:19,46.18894415,-117.2022851,Washington,0.0
188,12.0,US,3.0,2020-03-25 23:33:19,46.23946995,-119.5120834,Washington,0.0
468,10.0,US,1.0,2020-03-25 23:33:19,47.87046092,-120.6173956,Washington,0.0
516,4.0,US,0.0,2020-03-25 23:33:19,48.04754642,-123.9226319,Washington,0.0
530,16.0,US,4.0,2020-03-25 23:33:19,45.77568046,-122.4829204,Washington,0.0
611,1.0,US,0.0,2020-03-25 23:33:19,46.29442881,-117.9051983,Washington,0.0
649,3.0,US,0.0,2020-03-25 23:33:19,46.19074721,-122.6782231,Washington,0.0
816,2.0,US,0.0,2020-03-25 23:33:19,47.7361335,-119.692937,Washington,0.0
927,0.0,US,0.0,2020-03-25 23:33:19,48.471143100000006,-118.5154041,Washington,0.0
980,7.0,US,0.0,2020-03-25 23:33:19,46.53351425,-118.9018212,Washington,0.0
1018,0.0,US,0.0,2020-03-25 23:33:19,46.43197502,-117.5454032,Washington,0.0
1093,27.0,US,1.0,2020-03-25 23:33:19,47.20753737,-119.4500749,Washington,0.0
1101,1.0,US,0.0,2020-03-25 23:33:19,47.14003705,-123.7820567,Washington,0.0
1357,38.0,US,1.0,2020-03-25 23:33:19,48.14713305,-122.5216407,Washington,0.0
1423,9.0,US,0.0,2020-03-25 23:33:19,47.75003077,-123.56097040000002,Washington,0.0
1506,1359.0,US,101.0,2020-03-25 23:33:19,47.49137892,-121.8346131,Washington,0.0
1520,20.0,US,0.0,2020-03-25 23:33:19,47.63479026,-122.6436061,Washington,0.0
1521,18.0,US,0.0,2020-03-25 23:33:19,47.12521214,-120.679439,Washington,0.0
1525,6.0,US,0.0,2020-03-25 23:33:19,45.87325839,-120.7913598,Washington,0.0
1652,2.0,US,0.0,2020-03-25 23:33:19,46.57756476,-122.3925769,Washington,0.0
1684,1.0,US,0.0,2020-03-25 23:33:19,47.57705241,-118.4194388,Washington,0.0
1836,2.0,US,0.0,2020-03-25 23:33:19,47.35007586,-123.1863685,Washington,0.0
2126,0.0,US,0.0,2020-03-25 23:33:19,48.54855019,-119.7387224,Washington,0.0
2190,0.0,US,0.0,2020-03-25 23:33:19,46.55418369,-123.7285716,Washington,0.0
2221,0.0,US,0.0,2020-03-25 23:33:19,48.53234021,-117.2741804,Washington,0.0
2265,155.0,US,2.0,2020-03-25 23:33:19,47.03892768,-122.1405958,Washington,0.0
2515,1.0,US,0.0,2020-03-25 23:33:19,48.60182783,-122.96745,Washington,0.0
2625,48.0,US,1.0,2020-03-25 23:33:19,48.48171488,-121.766131,Washington,0.0
2627,0.0,US,0.0,2020-03-25 23:33:19,46.02408726,-121.9164403,Washington,0.0
2634,634.0,US,16.0,2020-03-25 23:33:19,48.04615983,-121.7170703,Washington,0.0
2651,33.0,US,0.0,2020-03-25 23:33:19,47.62113146,-117.4046494,Washington,0.0
2705,1.0,US,0.0,2020-03-25 23:33:19,48.40035475,-117.8542701,Washington,0.0
2797,14.0,US,0.0,2020-03-25 23:33:19,46.9291895,-122.8290656,Washington,0.0
2875,51.0,US,0.0,2020-03-25 23:33:19,0.0,0.0,Washington,0.0
2935,0.0,US,0.0,2020-03-25 23:33:19,46.29180039999999,-123.4250831,Washington,0.0
2942,2.0,US,0.0,2020-03-25 23:33:19,46.23040051,-118.4775539,Washington,0.0
3056,64.0,US,2.0,2020-03-25 23:33:19,48.82227976,-121.7490018,Washington,0.0
3072,2.0,US,0.0,2020-03-25 23:33:19,46.90022523,-117.5241763,Washington,0.0
3142,47.0,US,1.0,2020-03-25 23:33:19,46.45738486,-120.7380126,Washington,0.0
18,3.0,US,0.0,2020-03-26 23:48:35,46.98299757,-118.5601734,Washington,0.0
94,0.0,US,0.0,2020-03-26 23:48:35,46.18894415,-117.2022851,Washington,0.0
188,19.0,US,4.0,2020-03-26 23:48:35,46.23946995,-119.5120834,Washington,0.0
468,10.0,US,1.0,2020-03-26 23:48:35,47.87046092,-120.6173956,Washington,0.0
516,5.0,US,0.0,2020-03-26 23:48:35,48.04754642,-123.9226319,Washington,0.0
530,48.0,US,5.0,2020-03-26 23:48:35,45.77568046,-122.4829204,Washington,0.0
611,1.0,US,0.0,2020-03-26 23:48:35,46.29442881,-117.9051983,Washington,0.0
649,7.0,US,0.0,2020-03-26 23:48:35,46.19074721,-122.6782231,Washington,0.0
816,5.0,US,0.0,2020-03-26 23:48:35,47.7361335,-119.692937,Washington,0.0
926,1.0,US,0.0,2020-03-26 23:48:35,48.471143100000006,-118.5154041,Washington,0.0
979,7.0,US,0.0,2020-03-26 23:48:35,46.53351425,-118.9018212,Washington,0.0
1017,0.0,US,0.0,2020-03-26 23:48:35,46.43197502,-117.5454032,Washington,0.0
1092,33.0,US,1.0,2020-03-26 23:48:35,47.20753737,-119.4500749,Washington,0.0
1100,1.0,US,0.0,2020-03-26 23:48:35,47.14003705,-123.7820567,Washington,0.0
1356,64.0,US,1.0,2020-03-26 23:48:35,48.14713305,-122.5216407,Washington,0.0
1422,11.0,US,0.0,2020-03-26 23:48:35,47.75003077,-123.56097040000002,Washington,0.0
1505,1577.0,US,109.0,2020-03-26 23:48:35,47.49137892,-121.8346131,Washington,0.0
1519,33.0,US,0.0,2020-03-26 23:48:35,47.63479026,-122.6436061,Washington,0.0
1520,8.0,US,0.0,2020-03-26 23:48:35,47.12521214,-120.679439,Washington,0.0
1524,7.0,US,0.0,2020-03-26 23:48:35,45.87325839,-120.7913598,Washington,0.0
1651,5.0,US,0.0,2020-03-26 23:48:35,46.57756476,-122.3925769,Washington,0.0
1683,1.0,US,0.0,2020-03-26 23:48:35,47.57705241,-118.4194388,Washington,0.0
1835,2.0,US,0.0,2020-03-26 23:48:35,47.35007586,-123.1863685,Washington,0.0
2125,1.0,US,0.0,2020-03-26 23:48:35,48.54855019,-119.7387224,Washington,0.0
2189,0.0,US,0.0,2020-03-26 23:48:35,46.55418369,-123.7285716,Washington,0.0
2220,0.0,US,0.0,2020-03-26 23:48:35,48.53234021,-117.2741804,Washington,0.0
2264,186.0,US,4.0,2020-03-26 23:48:35,47.03892768,-122.1405958,Washington,0.0
2514,2.0,US,0.0,2020-03-26 23:48:35,48.60182783,-122.96745,Washington,0.0
2624,78.0,US,1.0,2020-03-26 23:48:35,48.48171488,-121.766131,Washington,0.0
2626,0.0,US,0.0,2020-03-26 23:48:35,46.02408726,-121.9164403,Washington,0.0
2633,778.0,US,18.0,2020-03-26 23:48:35,48.04615983,-121.7170703,Washington,0.0
2650,67.0,US,0.0,2020-03-26 23:48:35,47.62113146,-117.4046494,Washington,0.0
2704,2.0,US,0.0,2020-03-26 23:48:35,48.40035475,-117.8542701,Washington,0.0
2796,24.0,US,0.0,2020-03-26 23:48:35,46.9291895,-122.8290656,Washington,0.0
2872,69.0,US,0.0,2020-03-26 23:48:35,0.0,0.0,Washington,0.0
2932,0.0,US,0.0,2020-03-26 23:48:35,46.29180039999999,-123.4250831,Washington,0.0
2939,2.0,US,0.0,2020-03-26 23:48:35,46.23040051,-118.4775539,Washington,0.0
3053,86.0,US,4.0,2020-03-26 23:48:35,48.82227976,-121.7490018,Washington,0.0
3069,3.0,US,0.0,2020-03-26 23:48:35,46.90022523,-117.5241763,Washington,0.0
3139,61.0,US,2.0,2020-03-26 23:48:35,46.45738486,-120.7380126,Washington,0.0
18,3.0,US,0.0,2020-03-27 22:14:55,46.98299757,-118.5601734,Washington,0.0
94,0.0,US,0.0,2020-03-27 22:14:55,46.18894415,-117.2022851,Washington,0.0
188,42.0,US,4.0,2020-03-27 22:14:55,46.23946995,-119.5120834,Washington,0.0
468,12.0,US,1.0,2020-03-27 22:14:55,47.87046092,-120.6173956,Washington,0.0
516,5.0,US,0.0,2020-03-27 22:14:55,48.04754642,-123.9226319,Washington,0.0
530,76.0,US,6.0,2020-03-27 22:14:55,45.77568046,-122.4829204,Washington,0.0
611,1.0,US,0.0,2020-03-27 22:14:55,46.29442881,-117.9051983,Washington,0.0
649,7.0,US,0.0,2020-03-27 22:14:55,46.19074721,-122.6782231,Washington,0.0
816,5.0,US,0.0,2020-03-27 22:14:55,47.7361335,-119.692937,Washington,0.0
926,1.0,US,0.0,2020-03-27 22:14:55,48.471143100000006,-118.5154041,Washington,0.0
979,12.0,US,0.0,2020-03-27 22:14:55,46.53351425,-118.9018212,Washington,0.0
1017,0.0,US,0.0,2020-03-27 22:14:55,46.43197502,-117.5454032,Washington,0.0
1092,39.0,US,1.0,2020-03-27 22:14:55,47.20753737,-119.4500749,Washington,0.0
1100,1.0,US,0.0,2020-03-27 22:14:55,47.14003705,-123.7820567,Washington,0.0
